100001
[0.635488] [INFO]: Robot Started
[0.637287] [INFO]: Robot Disabled
[4.68436] [INFO]: Autonomous Started
[19.683422] [INFO]: Robot Disabled
[23.282909] [INFO]: Teleop Started
[23.303841] [INFO]: -0.001171875 0.0 -8.203125E-4
[23.324008] [INFO]: -0.0021679687499999998 0.0 -0.0015175781249999998
[23.343851] [INFO]: -0.0030146484374999998 0.0 -0.00211025390625
[23.36357] [INFO]: -0.003734326171875 0.0 -0.0026140283203124996
[23.383506] [INFO]: -0.00434605224609375 0.0 -0.0030422365722656245
[23.403833] [INFO]: -0.004866019409179688 0.0 -0.0034062135864257807
[23.424506] [INFO]: -0.0053079914978027345 0.0 -0.0037155940484619133
[23.44346] [INFO]: -0.0056836677731323245 0.0 -0.003978567441192626
[23.463323] [INFO]: -0.006002992607162476 0.0 -0.004202094825013733
[23.483275] [INFO]: -0.006274418716088105 0.0 -0.004392093101261672
[23.504307] [INFO]: -0.006505130908674889 0.0 -0.004553591636072421
[23.523212] [INFO]: -0.006701236272373656 0.0 -0.0046908653906615584
[23.543145] [INFO]: -0.006867925831517608 0.0 -0.004807548082062325
[23.564039] [INFO]: -0.0070096119567899665 0.0 -0.004906728369752976
[23.583998] [INFO]: -0.007130045163271472 0.0 -0.004991031614290029
[23.603995] [INFO]: -0.007232413388780751 0.0 -0.005062689372146525
[23.623921] [INFO]: -0.007319426380463638 0.0 -0.005123598466324546
[23.643879] [INFO]: -0.007393387423394093 0.0 -0.005175371196375864
[23.663424] [INFO]: -0.007456254309884979 0.0 -0.005219378016919484
[23.683356] [INFO]: -0.007509691163402232 0.0 -0.0052567838143815614
[23.703653] [INFO]: -0.007555112488891897 0.0 -0.005288578742224327
[23.724289] [INFO]: -0.007593720615558112 0.0 -0.005315604430890677
[23.744269] [INFO]: -0.007626537523224395 0.0 -0.005338576266257076
[23.763707] [INFO]: -0.007654431894740736 0.0 -0.005358102326318514
[23.783704] [INFO]: -0.007678142110529626 0.0 -0.005374699477370737
[23.80375] [INFO]: -0.0076982957939501825 0.0 -0.005388807055765126
[23.823571] [INFO]: -0.007715426424857655 0.0 -0.005400798497400357
[23.843493] [INFO]: -0.007729987461129007 0.0 -0.005410991222790303
[23.862956] [INFO]: -0.007742364341959656 0.0 -0.005419655039371757
[23.883852] [INFO]: -0.007752884690665708 0.0 -0.005427019283465994
[23.903855] [INFO]: -0.007761826987065851 0.0 -0.005433278890946094
[23.923732] [INFO]: -0.007769427939005973 0.0 -0.00543859955730418
[23.943725] [INFO]: -0.007775888748155078 0.0 -0.005443122123708553
[23.962946] [INFO]: -0.007781380435931816 0.0 -0.00544696630515227
[23.983891] [INFO]: -0.0077860483705420435 0.0 -0.005450233859379429
[24.00388] [INFO]: -0.007790016114960737 0.0 -0.005453011280472515
[24.023819] [INFO]: -0.007793388697716627 0.0 -0.005455372088401638
[24.04381] [INFO]: -0.007796255393059132 0.0 -0.005457378775141392
[24.063696] [INFO]: -0.007798692084100263 0.0 -0.005459084458870183
[24.083693] [INFO]: -0.007800763271485224 0.0 -0.005460534290039655
[24.103724] [INFO]: -0.00780252378076244 0.0 -0.005461766646533707
[24.12365] [INFO]: -0.007804020213648074 0.0 -0.005462814149553651
[24.143571] [INFO]: -0.007805292181600863 0.0 -0.005463704527120603
[24.163453] [INFO]: -0.007806373354360734 0.0 -0.0054644613480525125
[24.183482] [INFO]: -0.007807292351206623 0.0 -0.005465104645844636
[24.20349] [INFO]: -0.00780807349852563 0.0 -0.00546565144896794
[24.224348] [INFO]: -0.007808737473746785 0.0 -0.005466116231622749
[24.244231] [INFO]: -0.007809301852684768 0.0 -0.0054665112968793365
[24.264191] [INFO]: -0.007809781574782053 0.0 -0.005466847102347436
[24.2841] [INFO]: -0.007810189338564745 0.0 -0.00546713253699532
[24.304062] [INFO]: -0.007810535937780034 0.0 -0.005467375156446022
[24.32405] [INFO]: -0.007810830547113029 0.0 -0.005467581382979118
[24.344031] [INFO]: -0.007811080965046075 0.0 -0.00546775667553225
[24.363911] [INFO]: -0.007811293820289163 0.0 -0.005467905674202412
[24.383869] [INFO]: -0.007811474747245789 0.0 -0.00546803232307205
[24.403818] [INFO]: -0.007811628535158921 0.0 -0.005468139974611243
[24.423763] [INFO]: -0.007811759254885082 0.0 -0.005468231478419556
[24.4437] [INFO]: -0.00781187036665232 0.0 -0.005468309256656622
[24.463652] [INFO]: -0.007811964811654472 0.0 -0.005468375368158129
[24.483643] [INFO]: -0.007812045089906301 0.0 -0.005468431562934409
[24.503899] [INFO]: -0.007812113326420356 0.0 -0.0054684793284942475
[24.523493] [INFO]: -0.007812171327457302 0.0 -0.00546851992922011
[24.54342] [INFO]: -0.007812220628338707 0.0 -0.005468554439837093
[24.563376] [INFO]: -0.007812262534087901 0.0 -0.0054685837738615295
[24.584298] [INFO]: -0.007812298153974716 0.0 -0.0054686087077823
[24.604266] [INFO]: -0.0078123284308785085 0.0 -0.005468629901614955
[24.624234] [INFO]: -0.007812354166246732 0.0 -0.005468647916372711
[24.644221] [INFO]: -0.007812376041309722 0.0 -0.005468663228916804
[24.663086] [INFO]: -0.007812394635113264 0.0 -0.0054686762445792835
[24.684055] [INFO]: -0.0078124104398462745 0.0 -0.005468687307892391
[24.703997] [INFO]: -0.007812423873869333 0.0 -0.005468696711708532
[24.723876] [INFO]: -0.007812435292788933 0.0 -0.0054687047049522515
[24.743832] [INFO]: -0.007812444998870593 0.0 -0.005468711499209414
[24.76384] [INFO]: -0.007812453249040004 0.0 -0.005468717274328001
[24.783744] [INFO]: -0.007812460261684004 0.0 -0.005468722183178801
[24.803741] [INFO]: -0.007812466222431403 0.0 -0.00546872635570198
[24.823677] [INFO]: -0.007812471289066692 0.0 -0.005468729902346683
[24.8436] [INFO]: -0.007812475595706688 0.0 -0.00546873291699468
[24.863559] [INFO]: -0.007812479256350685 0.0 -0.005468735479445478
[24.883541] [INFO]: -0.007812482367898083 0.0 -0.005468737657528656
[24.9036] [INFO]: -0.00781248501271337 0.0 -0.005468739508899358
[24.923388] [INFO]: -0.007812487260806365 0.0 -0.005468741082564454
[24.944341] [INFO]: -0.00781248917168541 0.0 -0.0054687424201797855
[24.963293] [INFO]: -0.0078124907959325985 0.0 -0.005468743557152818
[24.984293] [INFO]: -0.007812492176542709 0.0 -0.005468744523579895
[25.003537] [INFO]: -0.007812493350061303 0.0 -0.005468745345042911
[25.023102] [INFO]: -0.0078124943475521074 0.0 -0.005468746043286473
[25.044088] [INFO]: -0.007812495195419291 0.0 -0.0054687466367935025
[25.064037] [INFO]: -0.007812495916106397 0.0 -0.005468747141274477
[25.083844] [INFO]: -0.007812496528690438 0.0 -0.005468747570083305
[25.103804] [INFO]: -0.007812497049386872 0.0 -0.005468747934570809
[25.123747] [INFO]: -0.007812497491978841 0.0 -0.005468748244385187
[25.143663] [INFO]: -0.007812497868182015 0.0 -0.0054687485077274086
[25.163582] [INFO]: -0.007812498187954713 0.0 -0.005468748731568297
[25.183589] [INFO]: -0.007812498459761506 0.0 -0.0054687489218330524
[25.203714] [INFO]: -0.00781249869079728 0.0 -0.005468749083558095
[25.223455] [INFO]: -0.007812498887177688 0.0 -0.00546874922102438
[25.243401] [INFO]: -0.007812499054101035 0.0 -0.005468749337870723
[25.263348] [INFO]: -0.00781249919598588 0.0 -0.005468749437190114
[25.283935] [INFO]: -0.007812499316587998 0.0 -0.005468749521611597
[25.303921] [INFO]: -0.007812499419099798 0.0 -0.005468749593369857
[25.323765] [INFO]: -0.007812499506234828 0.0 -0.005468749654364378
[25.343752] [INFO]: -0.007812499580299604 0.0 -0.005468749706209721
[25.363738] [INFO]: -0.007812499643254664 0.0 -0.0054687497502782624
[25.383277] [INFO]: -0.0078124996967664645 0.0 -0.005468749787736523
[25.404238] [INFO]: -0.007812499742251495 0.0 -0.005468749819576044
[25.424181] [INFO]: -0.007812499780913771 0.0 -0.005468749846639637
[25.444098] [INFO]: -0.007812499813776705 0.0 -0.0054687498696436914
[25.464048] [INFO]: -0.0078124998417101995 0.0 -0.005468749889197137
[25.483645] [INFO]: -0.007812499865453669 0.0 -0.005468749905817566
[25.50372] [INFO]: -0.007812499885635619 0.0 -0.005468749919944931
[25.523524] [INFO]: -0.007812499902790276 0.0 -0.005468749931953191
[25.543452] [INFO]: -0.007812499917371735 0.0 -0.005468749942160212
[25.563406] [INFO]: -0.007812499929765975 0.0 -0.00546874995083618
[25.583521] [INFO]: -0.007812499940301079 0.0 -0.005468749958210753
[25.603612] [INFO]: -0.0078124999492559175 0.0 -0.00546874996447914
[25.623345] [INFO]: -0.00781249995
